CITY_ID,CITYNAME_AR,CITYNAME_EN,REGION_ID
406001,الاسياح,Al Asyah,4
406020,قبه,Qabah,4
1002001,ابو عريش,'Abu Earish,10
1002026,حاكمه,Hakimuh,10
1003001,صامطه,Samith,10
1003016,الدغارير,Aldagharir,10
1003021,الجراديه,Aljaradiuh,10
1003031,خبت الخارش  ومزارعة,Khabat Alkharish Wamuzaraea,10
1010001,احد المسارحه,Ahad al Masarihah,10
1010003,رماده,Ramadah,10
1010021,الحصمة,Al Hasamah,10
1014006,الطوال,Al Tewal,10
1002187,البديع والقرفي,Albadie Walqarfi,10
1014023,الموسم,Al Musem,10
1013076,الشقيق,Al Shaqiq,10
1005001,ضمد,Damad,10
1005020,الشقيرى,Alshaqiraa,10
1012001,العارضه,Al-Ardha,10
800004,جبه,Jabah,8
200001,مكه المكرمه,Makah Almukaramuh,2
200133,جعرانه,Jueranah,2
212001,بحره,Bahra,2
1000001,جازان,Jazan,10
400001,بريده,Bariduh,4
800015,الخطه,Alkhatuh,8
800091,القاعد,Alqaeid,8
701011,المنجور,Almanjur,7
805010,موقق,Mawqiq,8
704020,الشبحه,Alshabahuh,7
801017,الاجفر,Alajfir,8
901010,لينه,Laynah,9
901023,روضة هباس,Rawdat Hibas,9
304002,بدر,Badr,3
305001,خيبر,Khaybar,3
305068,الثمد,Althamad,3
103082,الجمش,Al Jumsh,1
213001,المويه,Al Muwayh,2
213074,أم الدوم,Umm Al Doum,2
206029,عسفان,Easfan,2
207001,خليص,Khalis,2
207007,غران,Ghuran,2
213007,ظلم,Dholm,2
206042,مدركه,Mudarikuh,2
206001,الجموم,Aljumum,2
205001,رابغ,Rabigh,2
205041,مستوره,Mustawrah,2
205075,مدينة الملك عبدالله الإقتصاديه,King Abdullah Economic City,2
203001,القنفذه,Alqunafdhuh,2
204001,الليث,Alliyth,2
204227,الغاله,Alghaluh,2
204559,الشواق,Al Shawaq,2
203002,القوز,Alqawz,2
208003,الكامل,Alkamil,2
215241,ثريبان,Thareban,2
807001,الحائط,Alhayit,8
306017,الحسو,Alhusu,3
304043,المسيجيد,Al Musayjid,3
104004,حوطه سدير,Hautat Sudair,1
104037,الجنوبية بسدير,"Al Janoubiyah, Sudair",1
104038,عشيرة سدير,Ashayrah Sudair,1
112001,السليل,Alsalil,1
112012,تمره,Tamarah,1
303103,ثرب,Therb,3
303027,السويرقيه,Asuwayriqyeh,3
305037,الصلصله,Al Selselah,3
308054,سليلة جهينه,Salilat Jahinh,3
410002,الشماسيه,Alshamasiuh,4
600460,الاثنين,Al Ithnayn ,6
600851,بلسمر,Billasmar,6
305027,العشاش,Al Shash,3
115001,رماح,Ramah,1
109006,القصب,Al-Qassab,1
1204001,العقيق,Al-Aqiq,12
1206141,معشوقه,Ma'shouq,12
203295,سبت الجاره,Sabit Aljarah,2
201001,جدة,Jida,2
201002,ذهبان,Dhahban,2
201003,ثول,Thawl,2
615001,تنومة,Tanawma,6
205107,حجر,Hajar,2
211001,تربه,Turayah,2
211037,العرقين,Alerqain,2
215005,نمره,Namerah,2
303001,مهد الذهب,Mahd Al Thahab,3
301003,ينبع النخل,Yanbu Al Nakhal,3
307047,وادي  الفرع,Wadi Al Fare,3
308002,العيص,Aleays,3
301001,ينبع,Yanbu,3
301002,ينبع الصناعيه,Yanbaa As-Senayah,3
306001,الحناكيه,Alhanakiuh,3
306004,المحفر,Almuhafir,3
104001,المجمعه,Al-Majma'ah,1
104025,حرمه,Harmah,1
503001,الجبيل,Jubail,5
503003,مدينه الجبيل الصناعيه,Jubail Industrial City ,5
507001,رأس تنورة,Ras Tanura,5
700001,تبوك,Tbwk,7
202001,الطائف,Alttayif,2
202002,الحويه,Alhawayuh,2
202259,الهدا,Alhada,2
202315,السيل,Alsayl,2
202331,الفرع,Alfare,2
202424,عشيره,Eshyrh,2
202434,السديره,Alsadiruh,2
202544,شقصان,Shaqsan,2
122222,الحصاة,Al Hesah,1
209001,الخرمه,Al-Khurma,2
210001,رنيه,Ranyah,2
109001,شقراء,Shaqra,1
103264,السر,As Sirr,1
103023,ساجر,Sajer,1
103043,نفى,Nafa,1
103001,الدوادمى,Dawadmi,1
103184,عرجاء,Arja'a,1
120001,مرات,Marrat,1
120013,لبخه,Labakhah,1
120016,حويته,Hawayatah,1
116001,ثادق,Thadiq,1
117001,حريملاء,Harimla',1
117002,ملهم,Malahum,1
117004,صلبوخ,Salbukh,1
117005,البره,Albarih,1
104005,جلاجل,Jalajil,1
104006,روضه سدير,Rawdat Sudair,1
111114,بدايع العضيان,Badayie Aleidyan,1
111120,رفايع المزينى,Rafayie Almazinaa,1
111001,عفيف,Eafif,1
103076,عروى,Orwa,1
105073,الرويضه,Al Ruwaydah,1
105181,طحي,Tahi,1
105040,الخاصره,Al Khasrah,1
105131,حلبان,Halpan,1
103236,البجاديه,Al Bijadyah,1
106001,وادي الدواسر,Wadi Ad-Dawasir,1
105001,القويعيه,Al-Quway'iyah,1
122002,الرين,Al Reen,1
105190,الجله,Aljuluh,1
105248,تبراك,Tebrak,1
118001,الحريق,Alhariq,1
118003,نعام,Naeam,1
107017,الهدار,Al-Haddar,1
107024,الاحمر,Al-Ahmar,1
114001,المزاحميه,Almuzahimih,1
113001,ضرما,Darma,1
101002,العيينة,Al Uyaynah,1
101004,الجبيله,Al Jubaylah,1
101006,كليه الملك عبدالعزيز الحربيه,King Abdul Aziz Military Academy,1
101001,الدرعيه,Diriyah,1
101007,العماريه,Al Omariya,1
102001,السيح,Al Seeh,1
102002,الخرج,Al Kharj,1
102005,قاعده الامير سلطان,Prince Sultan Base,1
102012,اليمامه,Al Yamama,1
121001,الدلم,Al Delim,1
121006,نعجان,Najan,1
121007,الضبيعه,Al Dhubya,1
107001,الافلاج,Al Aflaj,1
110001,حوطه بنى تميم,Hotat Bani Tamim,1
110005,الحلوه,Al Holwah,1
100001,الرياض,Riyadh,1
100002,عرقه,Arqa,1
100003,الحائر,Al Haier,1
102007,الهياثم,Al Hayathem,1
119001,الغاط,Alghat,1
109018,اشيقر,Ashqeer,1
110008,الحيانيه,Al Hyanyah,1
104007,الارطاويه,Al Artawiyyah,1
108001,الزلفى,Al-Zulfi,1
108036,علقه,Ealaqah,1
508018,هجر جوف بنى هاجر,Hijr Jawf Bani Hajer,5
807235,الحليفه,Alhalifuh,8
104062,سدير,Sudair,1
110018,الحيانية و البرك,Hayaniya and Al Barak,1
